2000 10000
1670 1317 76
286 725 76
459 249 57
184 1961 48
1357 967 64
915 1606 3
1285 384 33
1375 1564 13
1352 19 54
309 92 21
1303 114 38
1830 401 16
406 860 17
1914 1396 31
1113 753 98
576 1668 5
630 1306 41
763 681 6
27 385 77
1081 695 21
1801 350 36
191 181 89
1306 939 49
1374 853 46
1404 1966 51
754 894 72
1710 1524 78
1050 639 59
1955 667 45
1583 1748 92
1304 1549 42
1139 1740 75
1727 1398 14
1527 773 19
724 529 37
1027 1283 83
998 993 8
275 396 99
585 351 66
929 287 14
672 1591 16
766 730 8
1040 809 7
606 688 32
1376 1413 61
113 440 97
95 1438 42
1954 65 38
453 650 42
1618 1932 29
884 604 72
51 1370 2
958 763 63
1264 1369 51
695 745 16
1008 1210 8
956 1306 98
249 1612 63
1939 65 66
332 36 98
1012 1272 2
1283 1323 25
636 281 88
1150 1898 9
0 945 54
968 305 65
375 1261 23
1573 1863 35
1187 1802 53
1452 486 41
1 1498 13
1155 1133 36
1679 121 69
966 1271 67
1974 1623 13
79 591 18
1395 1319 32
17 1244 95
604 431 49
1608 236 35
648 589 85
960 1744 70
947 1423 91
1215 741 62
1382 715 85
846 1147 29
263 542 48
1646 912 44
540 1868 27
1940 1828 63
1826 476 53
1210 1788 97
431 1087 73
1421 302 14
34 36 82
271 882 29
1099 1498 23
1598 1144 87
1341 37 7
1867 1977 35
982 1804 11
686 1366 51
134 1798 38
1006 1571 93
972 1606 29
1653 1877 64
1833 1328 14
907 926 10
894 619 47
1452 486 77
1487 1820 81
349 506 99
1000 641 97
1089 1999 69
1481 971 27
262 976 4
277 809 84
142 69 10
1151 1315 81
550 767 19
1926 254 40
1458 604 98
356 1956 91
1053 1045 91
1673 527 14
1899 1141 91
354 1418 52
137 1560 73
1198 1063 88
878 1613 56
1396 1891 10
87 1349 66
1637 1706 22
1827 1111 20
369 1136 47
1883 1035 40
725 1741 58
728 1878 70
801 1076 85
188 306 51
343 54 42
1105 494 44
822 131 2
496 1958 13
1215 328 49
813 563 36
1552 1288 77
61 16 7
482 817 35
1966 1358 41
1416 53 47
1110 1158 41
153 333 72
1606 829 83
170 44 11
1518 857 74
605 409 14
1433 470 82
139 952 100
625 1270 10
1065 1039 63
263 149 74
1604 654 7
1427 260 36
1209 430 32
1319 300 41
344 1257 2
1009 690 24
1691 1181 76
1542 1806 98
751 1223 37
13 1486 38
786 1442 92
1892 870 4
179 79 34
862 1751 86
402 95 43
703 1105 85
1826 1148 18
253 690 24
1951 1441 99
1039 1454 86
277 241 28
520 485 50
1024 1017 30
309 1879 33
247 282 80
1441 1337 37
1326 1164 85
743 1417 75
319 1720 16
1117 1112 23
1754 1389 64
1834 1909 1
783 1285 18
164 1947 98
1296 194 32
876 1635 69
264 1313 33
449 57 3
1323 728 75
1991 197 87
113 1952 28
828 1786 38
28 921 75
598 1438 22
695 1086 16
1778 1962 52
1846 227 65
1079 1028 74
433 703 54
1507 694 52
46 807 4
1973 1987 42
162 368 15
1637 966 53
1058 13 40
1026 1791 54
629 1637 33
1545 1068 61
871 1853 65
924 1361 11
1527 1759 71
82 1732 58
775 1895 78
390 1532 44
1794 942 57
285 320 100
739 1301 38
123 847 58
536 70 12
1652 994 25
1462 874 84
784 956 16
94 1732 63
1771 474 47
415 268 42
1423 554 62
223 1645 64
1012 120 63
1221 656 33
932 660 79
356 475 53
1891 1259 10
1159 1353 42
321 1125 16
1368 1892 36
1709 1315 42
722 1890 87
685 1254 60
199 476 16
1431 1408 29
10 117 4
1814 360 63
223 1519 69
716 193 46
1683 1561 38
919 1622 5
1412 344 96
1199 1382 2
1458 1581 78
725 1365 39
653 1727 8
1408 1541 68
1423 1765 88
791 833 81
1988 517 94
725 1788 68
1129 1200 12
1776 751 46
1678 561 80
407 1639 97
545 644 24
1152 53 65
120 1476 82
959 619 16
1991 607 33
936 1684 73
1503 1165 73
766 942 77
1764 972 38
343 1731 77
639 277 22
662 1781 27
578 253 55
260 1564 26
775 1555 33
159 491 69
1331 346 34
55 1113 28
1531 877 100
1921 1572 84
1949 211 61
622 1225 94
1348 155 48
1902 415 12
1427 1190 20
1911 1701 63
79 1032 10
1765 1440 75
392 1323 52
344 1596 24
27 1546 87
339 168 64
432 1517 19
1131 1771 87
1395 1551 77
1214 1462 31
1876 1894 63
1237 1659 55
1711 51 31
1414 747 27
337 774 73
175 1113 42
1590 1898 11
1161 1029 34
1147 424 85
675 1990 100
1905 219 94
520 1456 5
926 1520 8
656 934 56
1983 1272 30
855 1799 96
248 1742 94
1510 903 75
544 402 100
1480 1077 42
1879 1335 61
524 1855 70
828 781 90
1536 1438 24
991 1773 48
1220 980 48
915 1581 42
860 1091 97
1835 1987 99
1586 1468 28
1327 1699 63
1288 224 70
1409 1052 52
698 940 42
921 1931 15
769 1504 95
768 771 28
509 1632 20
1857 1819 59
1255 1405 79
82 1084 79
597 724 55
966 133 59
469 831 100
1410 1753 83
476 874 87
523 1994 59
150 855 43
1221 712 14
280 1967 19
1510 401 3
440 1350 80
1594 317 13
505 786 45
4 549 50
1786 1025 76
1425 1548 70
1483 51 25
1877 1272 37
90 1904 56
60 1415 9
1114 1855 60
893 1802 77
806 307 15
1902 663 64
1103 449 90
1178 1874 90
1247 1709 41
171 1938 14
159 380 70
114 440 85
822 1555 93
1233 800 47
1609 1606 6
1124 1860 69
1187 963 70
628 141 97
1618 1388 58
1010 1911 97
1323 70 77
245 536 70
229 1711 77
773 944 77
1119 906 36
124 382 96
144 1921 60
614 550 1
1310 520 42
67 1530 5
1115 1206 76
544 1451 64
413 32 75
189 806 20
1117 277 78
1652 754 60
48 1250 81
1759 1864 31
1611 1526 51
852 1946 34
357 1061 40
284 1605 91
747 370 75
1274 911 81
745 29 11
1122 33 17
1881 81 67
913 192 32
144 1804 10
246 1008 56
1879 1717 70
1070 353 27
1712 1453 50
387 727 61
219 1472 42
681 946 76
1897 1179 9
364 92 2
1047 588 58
1608 835 66
116 1066 36
1685 489 89
1563 201 42
1812 940 69
1325 1160 93
866 1841 91
441 91 70
450 807 15
1003 1854 3
1360 1814 90
1077 1930 57
512 1967 98
301 1531 99
1894 1695 40
215 1372 52
7 239 45
1450 680 36
71 1482 43
785 485 49
88 197 64
577 1275 46
485 1787 14
882 440 97
1833 335 44
1724 550 17
1127 909 56
371 711 88
59 783 71
201 1568 8
902 8 6
1417 586 33
1862 1423 20
627 658 13
923 843 100
1267 567 50
983 46 11
1290 417 23
277 476 6
1099 1030 26
759 284 35
616 1701 73
1748 1915 96
1019 543 6
1083 1466 49
1482 1085 68
431 420 14
994 62 84
1916 340 12
1621 1791 42
1598 902 78
1232 1518 31
1804 1618 47
152 638 90
1509 1721 8
1358 1204 46
477 1987 18
1291 981 81
874 897 21
1285 870 64
1079 821 67
1508 53 37
1639 210 56
37 714 46
978 223 67
1385 1933 23
1582 763 63
200 54 44
880 1280 94
252 917 16
1767 348 37
1833 1857 43
122 1848 53
29 1885 19
574 863 94
1192 248 80
1015 183 43
1177 383 97
672 1615 29
1417 1867 46
1033 1634 95
1821 1820 4
663 1942 52
67 323 37
185 897 100
1231 89 100
210 1456 83
304 985 18
452 1658 33
1880 1075 52
577 460 87
1623 282 7
526 1297 1
1629 1365 76
265 1902 73
116 1133 14
568 1695 23
1202 1999 8
220 451 18
1204 683 46
56 1261 58
894 884 40
1552 1763 38
504 1392 55
1779 10 57
1951 478 43
916 1046 38
1338 249 90
746 821 93
515 377 77
1360 433 90
1018 1679 26
1309 1231 41
898 1735 86
1852 1514 48
709 1817 26
1051 734 25
1440 72 74
181 1170 47
1726 1686 24
1602 1398 10
1443 768 89
520 78 73
1361 1328 8
1946 1181 23
1245 1890 92
670 1293 26
1494 1085 51
919 1267 21
1517 993 59
493 947 10
1902 742 78
1342 1262 8
14 975 37
774 1273 18
1048 518 60
1139 1541 5
317 1387 90
1567 307 9
1987 176 54
798 669 1
1007 923 95
336 266 58
1744 632 85
832 1406 59
1101 454 77
1260 1946 18
1064 263 6
1953 1830 65
814 169 41
667 967 63
1820 326 86
1714 663 4
1223 759 89
1708 1591 47
1466 692 54
1742 1952 100
1912 1368 15
1469 1673 45
1333 487 66
1725 1155 86
787 975 12
1125 689 27
80 265 86
1668 1973 77
1367 1439 69
1520 1533 73
1971 1797 93
685 1266 67
1229 599 6
294 677 61
1031 1816 88
1743 1293 30
1469 1374 95
1955 1394 68
383 761 59
1152 633 92
576 604 90
1369 1289 56
187 518 8
1492 1165 37
305 548 53
92 291 47
1273 113 73
367 420 67
1786 803 81
644 307 14
1388 1236 19
1929 605 8
1736 1144 79
143 636 96
1579 1293 44
1184 1738 36
1730 1011 1
2 1379 21
20 1517 76
800 162 84
214 1550 20
232 1479 77
1539 1215 73
69 1711 61
1764 1642 55
8 1178 93
895 1260 4
247 1614 35
1667 1635 53
242 435 15
1477 1001 17
1948 1233 48
1376 1125 15
1948 1546 78
1509 1311 73
363 1671 51
1307 918 12
910 1165 26
245 1184 13
1449 1778 1
463 1256 2
1731 1556 88
830 933 65
1144 881 11
1522 742 74
1894 1105 97
1796 412 15
607 1675 32
1385 272 16
1797 1721 95
997 536 3
1551 619 11
1338 1449 44
954 593 78
116 467 20
590 713 78
1438 510 42
853 1469 17
1784 854 41
252 1004 62
498 353 50
352 1904 69
1762 1594 18
458 548 64
35 665 31
354 1607 45
131 1045 7
1025 250 76
1241 387 83
434 639 87
995 1489 40
797 1841 45
865 1603 91
383 61 40
846 448 57
128 1155 16
124 1638 13
630 663 64
958 257 3
140 691 42
678 1686 83
1217 835 24
13 1701 79
404 436 93
1695 1634 41
3 1762 96
1918 239 35
1582 1221 98
1497 179 55
1799 671 46
1092 1349 85
1874 919 20
497 932 73
1428 1688 9
420 1383 95
1860 1386 58
808 1656 49
1394 1591 70
643 1088 2
1798 888 73
1995 1980 75
231 207 94
1303 704 78
75 484 67
1636 904 2
830 1117 41
139 277 97
1687 1671 88
809 314 29
110 464 17
434 460 49
108 1043 56
1053 698 13
931 1126 97
497 762 2
150 1944 71
1190 436 48
1887 475 19
526 1284 33
254 1746 98
1222 181 10
171 641 5
1326 1695 4
1538 626 30
235 1475 44
188 1625 40
1258 816 76
605 1055 52
1975 1933 88
1307 540 35
1456 1762 68
417 285 9
422 1964 4
1477 1502 82
1658 89 9
601 629 87
192 239 3
1868 844 10
371 1171 95
510 479 35
396 287 50
463 705 35
1524 1479 99
279 1308 54
1661 966 95
1221 1919 77
407 111 16
761 331 13
170 1054 84
1865 1565 63
451 1961 3
800 777 60
1787 301 91
385 580 99
1190 593 17
437 1815 88
313 222 51
428 984 83
1740 1506 89
224 1723 6
1538 175 20
1492 975 97
151 762 50
993 1500 82
791 1042 76
259 1479 91
1646 1792 65
1497 573 1
31 665 8
1971 889 31
1477 780 58
1296 624 34
244 776 48
1845 1769 100
26 913 43
801 1172 22
1743 1171 67
1260 668 92
1760 699 57
119 670 99
202 499 79
459 147 55
44 391 31
392 588 53
943 615 18
185 1416 90
1259 1512 61
477 772 81
268 532 32
724 1004 55
422 1206 54
1252 1665 2
707 1710 45
1289 454 34
1641 1397 1
1258 1935 17
400 1194 81
712 23 53
1693 291 38
1724 1015 42
1130 1790 48
684 1394 65
737 101 27
1533 1743 33
566 1736 31
566 1347 18
335 1747 64
1967 811 87
20 504 78
957 581 45
898 1711 35
397 747 30
1561 1484 83
788 1018 26
820 1936 63
602 855 10
671 1542 9
1934 1509 72
1220 1529 77
1149 838 10
446 88 73
1180 485 21
1661 399 57
596 1187 27
1273 359 16
1687 1314 71
1448 337 65
1308 272 74
1980 1844 56
1508 1346 46
1617 1792 35
141 1324 72
1413 1338 71
170 1934 10
648 1559 70
1063 1247 36
685 1047 73
1849 356 97
875 336 42
1782 1844 40
1527 1813 32
1713 1954 56
385 1720 94
1455 242 80
65 890 92
1386 1954 39
373 991 38
1345 841 94
942 68 82
735 1850 78
226 1729 91
1157 1443 98
1764 1828 70
1710 1635 12
1941 1700 2
1732 1086 8
1122 1459 100
1560 1157 93
705 451 13
187 1538 63
1864 1764 44
1707 1273 87
1856 1037 67
1725 747 3
1836 689 55
1189 773 94
497 1896 5
1148 1456 14
640 161 65
552 700 55
666 917 71
509 624 44
148 832 34
1966 557 81
1420 745 22
575 1934 48
1168 783 44
1924 1931 52
1838 923 13
202 1475 66
809 493 83
1179 1355 59
823 1855 91
1856 1821 100
1988 1242 45
1162 169 31
1109 1689 15
1304 1613 46
955 1451 70
1119 6 97
1984 815 43
118 346 98
876 1169 5
818 1377 78
1317 1718 20
913 1232 41
444 341 30
1110 1997 44
1355 952 95
876 71 53
225 56 20
67 174 67
1616 1403 88
1020 221 66
597 1891 36
1769 804 68
1109 1600 61
491 710 58
1134 418 10
1580 1294 33
33 1519 89
4 1586 16
1970 1554 71
1458 926 92
675 1524 35
1610 1645 40
129 1106 92
1341 1597 3
550 1083 73
359 664 67
943 1049 39
1584 1053 77
399 1024 32
1321 834 58
112 1509 34
1147 1471 31
1338 1952 38
1129 1293 87
1983 1843 71
1255 554 35
174 1497 36
612 1081 89
1340 1832 65
1271 1153 99
481 1618 60
1566 1117 31
297 455 35
486 1936 28
272 1322 43
1527 1876 29
53 1726 64
665 807 53
6 992 17
1629 497 68
110 115 27
29 1232 10
326 39 44
812 328 24
1084 600 46
579 479 75
1607 533 1
1571 1550 60
1523 1908 4
1191 1538 2
1058 0 17
1337 29 2
1498 355 93
1493 1519 21
616 604 21
1414 1183 1
440 1142 86
1192 713 36
751 588 45
7 1780 83
1408 1190 35
1276 879 17
729 377 24
222 1871 44
42 487 100
815 253 35
67 693 77
1852 1885 91
1187 989 79
783 996 11
1917 756 54
1052 384 33
568 1114 11
1143 1336 34
886 1730 73
1937 897 27
171 964 20
1548 1168 58
1990 708 47
1020 1491 95
183 1409 3
536 813 87
1768 1733 1
1730 876 89
1563 115 72
236 52 21
1514 224 86
1485 124 6
1342 466 14
540 1486 58
734 1669 19
388 557 84
75 326 17
1227 408 45
1716 1972 60
639 560 13
459 74 89
1596 1559 13
1902 1254 79
1267 1794 17
476 881 39
1094 1269 96
877 1696 74
745 924 83
1490 992 7
349 1631 67
1613 90 93
1101 39 4
713 293 58
1143 1560 5
1412 389 38
1350 1483 59
1845 713 56
1019 1810 32
601 1300 24
507 2 55
1325 1967 97
569 1069 36
1372 134 29
1782 1630 42
338 1042 31
127 392 66
1185 237 31
292 1608 42
675 561 94
1698 1420 96
704 745 64
1801 1314 85
1288 1039 19
717 821 49
410 1511 91
140 1638 35
57 1175 73
688 1468 33
1129 143 95
1222 194 15
1670 898 61
85 699 27
1569 1988 66
1187 1057 39
788 1467 50
1430 1959 40
465 16 16
1737 1056 84
969 185 79
1115 1760 25
330 1430 24
290 1515 75
268 1436 15
1286 623 72
1476 1763 91
826 1194 2
165 1659 71
680 1748 27
1015 1069 65
1846 185 25
870 515 7
793 1157 74
120 1777 10
1434 1063 85
158 540 49
348 1718 95
1202 235 6
72 1268 54
350 283 75
814 481 60
1390 1352 27
1748 497 36
1621 617 14
1282 52 29
1567 562 69
1967 1262 39
1913 464 75
1518 888 43
1223 1239 26
1997 405 60
1309 148 12
1487 1896 61
823 1870 31
288 1152 83
816 1071 97
237 1390 59
1375 1303 24
749 1173 64
1391 396 55
669 746 61
780 55 61
1891 1894 57
203 1069 27
1133 1357 32
467 526 3
363 763 94
1522 490 49
1497 1592 23
360 1335 71
815 356 17
27 1136 24
1387 1379 19
995 1583 88
474 716 98
1105 1184 24
1159 1899 39
252 1421 81
1353 918 73
1275 1631 9
1945 798 65
1714 825 54
1537 564 33
1255 1559 16
395 33 33
892 1490 69
1915 650 68
405 1254 42
1385 607 60
310 234 43
570 532 41
1186 246 66
939 135 82
72 1391 94
787 1786 27
571 678 70
1891 945 20
759 1702 26
1752 1439 86
1663 1749 72
1206 671 4
1546 1858 2
1064 797 38
1145 1221 81
1138 9 67
1517 932 97
1738 1176 94
609 287 48
734 39 87
171 1702 89
1843 908 60
46 807 18
1200 223 68
489 1720 89
1169 1211 50
1987 1080 35
1835 818 11
628 1427 98
1475 513 37
113 685 91
853 528 100
1913 926 59
1182 126 82
1601 615 2
890 136 13
891 123 93
1825 1958 63
1935 938 90
684 765 56
1472 879 41
1963 1732 21
1714 1997 99
272 1532 26
1405 1133 93
1906 23 30
1971 915 5
763 1092 64
726 1028 2
467 1712 68
722 1185 99
14 1500 83
186 1214 81
1285 1486 13
862 891 98
1406 1149 22
87 1120 89
892 236 81
7 1314 61
1708 133 26
527 1208 63
577 1574 63
360 1761 77
140 1398 15
1804 612 58
601 18 7
1774 458 80
214 1702 68
1747 1709 82
307 1769 15
1284 649 23
1446 1226 98
1108 1586 11
336 78 9
1050 234 73
1007 1188 43
466 962 1
1397 1529 3
564 1276 12
1045 1935 34
11 1220 83
186 1018 9
1583 127 96
1445 463 74
353 1866 9
577 1225 97
819 1691 11
1520 1088 92
274 1652 68
386 1049 56
619 1413 28
1853 1599 46
1961 1182 25
1656 627 41
1782 1332 7
142 261 32
1338 1080 76
200 952 64
592 1227 69
611 1613 70
918 584 83
445 437 82
991 750 16
367 407 95
207 189 79
1913 683 92
1197 21 73
172 573 25
587 1517 52
1007 129 17
829 1047 53
63 1493 42
897 836 93
912 1203 100
259 1763 41
1289 1676 24
581 1225 97
1305 1397 22
629 337 40
1533 1696 21
49 525 68
1854 589 13
95 1486 1
1087 750 57
838 1361 20
778 1003 48
1753 1584 74
1101 1241 23
1375 1870 60
814 1755 57
734 1805 34
53 1659 23
1218 106 61
1218 1194 12
774 32 25
445 1163 28
1793 1268 64
366 722 5
688 97 28
1700 911 83
408 1997 40
1641 402 51
1464 1620 58
1476 839 52
1887 1965 36
12 411 51
1491 204 20
555 922 42
859 1610 39
1386 1662 2
21 70 51
460 1712 53
911 1528 26
1820 1004 65
1923 1244 82
58 1608 93
1709 1099 49
980 1654 71
621 866 34
711 604 96
64 625 67
1766 1438 31
1870 349 59
1595 521 15
511 444 59
1393 854 67
1037 563 67
1238 1895 21
8 868 39
1093 1931 44
1489 347 69
307 113 7
1189 336 8
1247 1931 81
1013 795 25
1672 540 80
1938 1577 95
1304 815 91
677 1176 59
915 269 91
110 1737 32
769 203 38
1958 539 98
1557 822 78
571 1969 55
243 509 34
533 439 28
190 1254 70
867 782 81
134 1404 71
245 1514 60
176 636 15
1365 594 6
514 504 81
144 1427 50
698 22 60
1383 555 99
762 745 5
732 1964 88
512 451 92
34 696 58
1645 1224 94
1460 941 41
517 1808 97
397 1952 24
247 1002 46
958 385 53
108 1499 99
512 231 15
51 1095 66
994 1481 14
1452 1479 38
897 939 32
1289 1808 92
537 206 96
860 805 98
1557 1763 35
1162 223 34
1160 735 18
1474 787 65
240 1781 47
405 1585 78
1443 835 17
126 124 77
617 662 35
1412 1874 40
1561 1784 55
447 946 78
480 458 66
1449 284 5
1514 876 86
1412 1282 24
789 1077 59
1457 1555 35
285 172 49
1320 1936 76
1159 1849 12
1466 296 58
1643 1128 68
1260 578 52
1664 444 29
202 208 63
325 997 40
1635 806 95
1421 1091 19
222 411 7
897 1923 56
1708 1389 4
1817 1384 32
384 645 10
1587 309 6
1667 511 14
1029 1188 11
1468 823 69
1814 597 13
332 819 76
1490 1716 99
145 1776 40
1448 1945 25
232 329 70
1241 268 31
1047 1936 43
1060 965 83
423 786 7
943 600 56
555 1285 75
931 775 43
1581 1273 71
1621 1073 16
1045 1305 45
1466 899 13
196 1946 1
1790 1358 67
573 133 53
531 1429 5
1086 336 42
812 1267 18
254 1201 43
1824 822 16
1339 219 22
1535 1685 73
1999 233 19
400 376 29
118 1301 15
622 1832 44
1726 1270 80
820 82 100
689 688 53
1831 864 75
398 203 94
271 90 31
1043 89 16
113 841 92
542 959 93
1808 1581 77
503 1660 99
1534 832 33
185 1521 21
37 1352 85
711 102 40
1956 374 30
1238 1417 72
754 1531 65
997 425 25
542 585 58
270 1088 70
1269 622 2
701 808 75
1174 1197 79
510 1909 82
402 217 56
31 1456 25
454 562 56
1719 1559 33
295 101 18
804 724 6
1326 1993 81
679 1046 41
1554 572 38
132 1083 99
1165 1837 17
572 1868 25
1397 675 87
104 746 98
1237 1041 52
954 197 76
112 1523 69
1892 203 67
1184 109 40
1673 593 75
72 1759 12
1040 331 32
1464 80 59
802 185 5
1699 1422 46
1050 728 44
1477 840 19
1545 1084 22
1364 620 83
1755 294 77
1581 366 88
892 1406 71
775 1222 52
1334 24 37
638 75 11
1336 1126 91
231 603 84
649 501 68
1623 217 41
705 1972 35
733 1553 53
520 797 11
991 1924 33
1542 1258 9
630 249 84
1492 1937 62
1082 520 18
1865 1521 19
85 1144 88
1277 202 60
411 1287 65
615 1808 62
225 799 38
1409 693 97
617 1675 98
1900 1167 87
662 601 7
731 819 28
1301 1256 25
88 533 27
1199 1296 14
1863 1911 74
1676 488 25
1413 1897 18
761 514 93
710 766 12
596 1780 66
1002 511 85
930 1812 93
354 1900 78
332 1099 74
1597 1314 37
671 990 25
1247 756 22
165 1869 88
1109 580 54
1221 1176 35
638 531 98
522 1461 11
366 167 63
743 851 15
768 800 81
704 1823 72
1480 1071 80
1801 1236 49
1340 345 81
1293 1918 58
1379 556 41
329 1430 54
739 1796 21
1753 891 24
219 1659 24
0 363 48
1123 1843 19
1002 1996 7
1102 1336 4
1783 982 23
1992 713 31
732 1042 14
1285 133 62
5 1887 54
280 106 13
1003 458 29
1902 1581 24
1520 583 73
1078 1686 61
982 1821 43
1156 1813 9
1886 545 51
751 1830 85
1413 187 24
966 467 82
530 1822 41
458 1725 22
934 1597 58
1406 676 96
1566 1658 17
1061 1166 30
1269 1404 75
519 156 57
255 1569 44
230 535 11
312 1417 85
1204 228 10
1677 1162 8
734 568 36
1829 486 46
1097 1547 12
1826 816 16
1452 1688 72
908 295 93
903 526 80
1365 1190 98
1650 394 26
1659 423 88
1618 1158 8
253 1339 46
898 789 94
1061 615 62
277 420 2
0 1680 98
1293 584 24
1824 301 66
1421 1951 12
1598 1611 35
937 1581 45
844 1835 37
1590 1085 26
235 147 93
1696 776 13
1550 776 46
1347 421 82
22 246 83
1887 19 35
850 1970 98
1884 907 31
429 104 66
665 46 4
1690 281 51
1682 329 27
447 1879 55
1244 1226 29
625 1600 27
307 1487 98
293 689 68
242 574 76
1773 1355 80
1490 372 26
293 414 59
1595 448 88
1673 1247 20
528 491 98
508 1116 99
734 1776 38
1683 421 28
251 664 54
1726 789 9
1657 279 81
1282 925 47
1892 520 95
479 194 43
1650 1074 34
48 1934 3
398 1020 79
235 703 100
762 954 16
567 1032 5
1375 689 85
907 323 62
853 215 82
1600 1047 28
1594 697 54
1727 1097 88
1329 1495 8
1059 1731 12
859 845 18
1674 1413 51
1631 1140 92
1867 400 16
1028 1253 83
709 1205 82
1289 799 32
942 879 29
530 560 77
1489 1620 60
800 831 5
1418 857 70
1420 488 63
111 355 63
1478 1735 68
1413 445 74
394 86 73
425 1028 52
1906 1910 65
882 1400 85
1941 552 68
197 322 25
219 1742 66
1733 206 73
1295 1684 9
462 1097 6
1187 1844 92
360 621 72
763 527 83
79 1761 35
663 54 87
782 604 10
1407 1175 4
1224 908 10
1748 203 95
1656 1017 44
713 205 88
1504 917 10
1676 32 89
110 112 3
1944 1127 57
330 1910 13
1391 1669 88
195 893 96
1204 641 51
250 650 21
394 1363 78
381 1220 95
1342 1248 79
1183 1358 43
785 1654 71
441 336 81
1406 1728 2
1193 275 47
241 1479 88
1843 82 90
815 476 6
1992 1209 26
438 904 26
917 87 84
1859 872 90
281 1665 26
613 1071 54
614 617 81
1860 1210 13
100 1405 95
989 221 23
1946 213 32
123 652 88
1548 1921 75
331 132 47
1120 414 65
598 1027 36
1803 1994 5
1284 1854 15
596 1954 21
342 1296 94
564 1594 7
347 1718 11
1035 1266 32
1809 1950 17
1808 1422 31
1472 20 10
207 1824 4
264 1108 11
1530 56 17
202 398 65
1095 962 60
554 1309 78
664 344 44
1048 506 46
1564 314 69
846 1786 89
1155 345 65
1459 609 25
321 140 81
1137 342 31
1602 1438 93
1661 1992 55
1790 1008 51
1185 56 57
531 1972 71
1299 818 9
439 1974 55
1756 1785 64
180 458 56
1013 1595 99
243 1197 89
788 1210 33
994 1000 93
1544 186 2
601 1069 74
323 720 93
1832 1159 19
1686 1267 56
501 1448 14
1457 461 61
1107 1056 11
547 1844 21
331 838 22
1123 383 60
324 1336 29
1850 11 49
194 1843 60
864 1881 28
1319 383 28
584 192 89
1796 1651 97
206 550 42
1827 881 32
800 356 67
1959 1033 55
539 883 67
1839 1077 62
298 1941 44
377 1612 79
1904 548 23
244 344 26
1641 551 76
882 730 9
1665 1530 17
832 1841 50
1686 732 33
904 571 62
1966 1221 55
909 1599 19
939 1855 67
1161 100 64
1386 1741 67
513 975 49
873 640 79
1589 1824 72
1691 1863 56
675 767 27
737 733 100
1443 1994 51
1762 1285 7
980 446 7
543 184 48
1361 1049 75
909 1922 67
339 1864 92
1962 1555 55
317 230 74
1595 1319 8
95 763 54
897 525 40
1203 1505 38
1609 401 75
108 114 24
1934 1024 99
401 1363 63
692 1678 70
1198 1995 100
471 1943 72
830 390 35
1536 1287 12
1175 491 69
1964 452 70
938 913 85
1314 847 61
1612 1248 76
126 292 54
547 1842 2
1198 314 45
1169 1496 35
1903 1032 22
1514 559 65
1335 876 18
1556 1814 83
1892 1480 30
1252 1444 31
680 1570 23
1433 469 66
886 1668 32
