5000 25000
1539 2449 50
1832 749 6
3212 4885 86
997 2132 49
3726 4232 78
987 2102 15
280 1780 73
2267 4141 88
3946 4680 70
1822 2024 56
1600 4915 5
2449 1747 6
1206 1312 44
2491 3661 76
4491 2388 8
820 4727 62
3686 1359 42
2358 4979 35
3398 277 67
367 2100 91
2574 52 7
878 2501 6
2635 3708 70
4278 2551 84
4405 3395 24
3764 567 3
225 4254 63
4818 1612 42
4904 1362 19
4671 1729 71
2813 4303 23
871 1533 77
2029 4169 37
850 3447 40
3333 4205 35
908 2969 3
3211 3195 9
1873 4365 73
1866 4270 36
2136 293 17
859 4458 21
4633 330 6
909 3711 27
3597 4561 27
3837 2895 32
3823 3803 1
4377 2014 48
4185 239 14
1958 2105 84
1093 594 29
3309 1453 87
1181 1086 17
1939 3348 28
1865 1945 42
1591 2134 37
1874 958 92
3775 335 59
222 873 50
2387 2831 56
2470 276 50
4198 3585 55
385 1119 41
3253 3058 89
4833 1275 87
974 4219 21
1362 1093 79
553 1220 67
4463 2795 40
3613 182 23
1220 2653 99
4421 3203 36
4075 4940 7
1167 4546 65
1608 731 93
3994 1705 12
4866 4419 5
345 1324 26
3863 788 21
3254 753 55
476 1973 60
4326 1394 64
1761 1821 56
3020 2988 2
984 4596 33
1576 4942 90
2739 4809 9
3644 1506 86
2121 1721 74
3393 4975 79
4847 1803 52
307 2481 98
322 594 71
1629 3614 59
1131 951 8
2715 3879 2
2357 1619 11
1417 1615 69
1802 88 90
4327 3481 17
2605 4680 72
4208 1339 53
3557 3013 100
4727 4643 14
238 774 65
1697 4841 45
3098 3550 16
661 1320 31
4729 3122 19
1871 3802 52
339 2759 84
611 3320 24
4715 1877 37
4414 1605 80
2728 3195 6
3344 4892 100
1488 2990 2
2603 3651 22
1685 4733 97
855 2956 99
4858 3295 10
3542 3906 30
4917 3622 60
4305 3036 65
3337 2116 60
4494 461 4
1845 1949 94
2747 905 98
4968 3942 83
1664 4798 39
3514 1008 34
3124 4550 41
2405 819 15
3564 1477 3
2680 4814 20
4991 660 81
2194 2506 82
2388 253 87
3937 1573 82
219 4590 32
4457 3104 40
1990 2580 43
4782 4986 62
2548 4902 39
3351 2583 5
1270 2574 66
4650 4769 24
1331 3509 29
270 3798 2
3151 4017 44
2182 4826 49
3573 3168 81
4515 4303 19
2629 1851 22
867 202 5
1624 1472 31
3041 1122 52
1964 3806 13
3844 4076 11
2297 3579 80
341 2113 6
2841 686 27
2921 202 30
4340 2831 81
2013 50 36
917 3026 8
99 2419 83
403 4383 89
4215 4579 17
3178 1877 96
1157 2218 9
315 59 47
2641 2980 49
622 3672 32
454 685 35
489 2954 13
1997 4406 33
2331 4809 68
119 4024 48
3335 2202 25
1482 4712 95
1742 1379 6
2688 372 38
3837 994 11
520 1448 48
3606 3290 3
4719 1639 9
4603 3970 18
3870 441 94
4069 128 49
1145 1610 61
439 3352 40
1144 1040 12
1182 1229 58
1244 3102 58
1991 3060 48
693 4131 87
153 3734 57
3070 3957 50
2716 3026 78
4564 4172 88
1124 963 92
415 2108 85
3726 4642 66
4383 886 20
4192 4229 81
940 1275 12
678 1428 47
4387 851 4
3536 3567 82
2814 3131 54
53 4255 18
1997 1022 78
4981 4748 20
1898 483 58
1918 4675 39
4998 1967 14
3561 2646 43
4507 2033 94
762 569 61
1396 4735 44
4849 4789 51
618 1786 73
3495 3119 73
2366 17 56
3475 3287 83
3814 3285 3
427 1847 49
3469 2706 34
3714 4821 55
2526 1217 91
4469 2418 32
2019 3037 70
591 2884 41
263 251 10
1770 3726 98
4305 3892 35
159 4320 34
2307 4141 93
4192 4208 14
1646 1734 83
188 2556 53
3519 927 90
4988 1519 75
2280 3134 78
4590 1257 4
187 1914 49
421 2073 21
207 732 62
2699 4924 22
1364 2922 9
1246 3111 65
1250 2982 92
2940 4323 63
3866 1603 50
43 1193 59
1298 2732 73
1446 4506 98
2266 4713 30
3580 2412 6
4101 3776 80
2709 1374 43
225 2624 78
2317 1916 1
3631 782 56
3080 825 2
138 3476 34
462 4922 40
2859 3541 53
2340 2121 17
3097 2574 45
1777 1636 71
1271 3213 48
3748 530 64
548 514 99
1656 3594 76
3957 85 52
3990 1899 75
4882 4759 68
486 3451 41
3503 1549 67
2999 4678 3
3870 949 17
3717 4698 99
1832 1598 13
730 3254 60
3158 2211 97
2709 2554 96
3535 2436 7
2902 4274 11
742 4129 60
2509 2129 90
2263 2351 91
231 2420 41
3730 4252 40
4094 1335 46
4405 4493 10
4801 3554 64
3449 2090 52
3207 4992 78
1417 2087 8
2528 948 89
3317 4563 40
2760 4795 60
1900 4877 64
2639 3971 51
4337 4729 96
3246 882 51
1061 4331 41
2664 2539 85
4893 308 72
4900 2837 72
3388 2506 36
579 266 31
3838 2167 60
4054 1158 31
604 1847 12
4352 93 95
302 2506 26
3342 1522 17
2726 1416 26
550 1316 63
673 1057 21
4008 1636 88
3490 1827 7
2849 2233 17
2532 4189 65
1943 3541 10
2237 3843 69
3215 3537 91
1731 2616 7
556 4518 76
3570 191 85
4091 552 73
1230 394 52
1888 4596 85
3704 2128 27
3720 423 68
3830 4013 64
2798 2228 53
4640 3959 69
2899 868 87
3826 790 31
810 1233 35
2134 3815 29
286 703 25
2022 760 5
2948 4480 81
3768 4662 94
3431 2460 22
2983 3453 33
1504 1352 53
4542 178 44
2772 2340 77
2906 4474 45
4787 4760 48
1263 3135 8
1220 1083 41
1600 1203 3
2345 4634 16
318 3970 69
3602 1826 73
2755 1368 51
4050 493 43
1578 4751 17
2922 4538 30
4970 2154 65
4129 4726 100
2769 2678 4
2424 23 90
891 1693 12
2811 295 38
1083 3050 7
885 2100 52
3027 3679 3
995 1601 94
3724 2923 48
940 3405 74
4240 2526 4
95 4950 27
584 2193 20
1396 4 67
4033 2439 18
4391 3324 70
242 2703 1
2197 3699 55
3690 3775 30
3689 1068 35
3414 1660 62
817 1755 12
3243 2339 6
3714 3735 62
4480 4121 2
4649 4864 78
3271 1459 82
571 3656 33
2177 3698 60
1707 2387 28
993 801 88
1454 1618 43
3218 1213 35
2175 1279 22
1136 759 95
2537 1761 60
3615 32 71
3748 1955 27
2580 485 25
2891 3544 64
2919 4537 65
958 992 35
753 4210 48
2887 1385 27
108 3873 38
4155 2763 99
1714 2730 83
2084 1478 39
2462 410 76
1538 4653 20
3001 2572 57
1617 4883 49
1851 636 11
4650 4875 48
2376 1335 22
3565 490 37
1516 2204 67
4498 640 97
788 4454 59
2563 992 12
2882 345 37
2739 1962 20
3587 3813 8
1350 3463 83
497 2191 70
4870 757 61
2006 2273 17
3224 1771 58
920 2560 64
378 1475 57
842 4358 54
3878 2097 17
3149 2036 30
3056 3386 46
4190 3884 37
1659 106 94
4619 2113 19
2488 337 43
997 2610 55
3960 4340 30
4268 182 88
4922 4060 37
2538 2209 74
319 1617 12
1564 2159 48
1 3819 55
546 4790 68
4717 2278 57
659 3275 19
1865 3588 60
3194 2856 42
234 2778 55
4370 316 16
1895 636 86
2807 2200 45
3954 3553 16
1560 452 7
1279 169 37
1336 828 65
354 2693 53
65 2239 9
3607 2473 88
3913 3196 56
1428 91 44
1913 4250 97
4558 4557 50
2373 1117 54
1331 2397 23
3920 85 3
4784 1791 48
4236 1857 88
1544 1816 13
2983 729 9
1091 3509 53
4834 1775 55
3482 2685 12
684 1410 82
3337 2742 79
1160 1662 16
1162 2798 7
1562 2034 16
2849 4930 32
4313 2914 13
3974 357 75
78 191 50
432 3674 35
1696 4358 45
4077 4047 39
207 2952 23
2722 750 81
4284 2784 97
3485 4067 80
2798 3333 45
1772 3690 19
1850 3881 68
3635 3907 2
331 4617 98
760 3665 37
2319 224 89
93 4298 92
873 3582 28
4221 3419 95
1953 1218 28
4797 4342 18
2615 1193 52
2182 4828 11
2535 1511 29
3732 2271 46
1220 4590 22
1661 4683 21
2852 1908 55
3179 2482 75
3926 4435 93
1653 4232 35
4423 1847 80
1074 381 60
2984 4268 23
864 3000 46
3761 573 88
1883 2234 23
655 1438 32
3009 969 14
3783 4895 49
2127 2901 33
4814 2324 80
45 3398 13
1457 2734 81
4379 3599 33
925 3712 6
3412 595 92
1935 1250 82
3718 612 52
1631 747 99
331 2875 52
3263 4041 76
4394 4086 26
2258 543 61
3038 1275 12
3170 2200 24
228 612 72
871 3899 74
2953 2617 86
2356 600 34
1654 931 61
1558 546 2
2433 4940 40
4411 2198 36
4123 1588 11
3786 1111 11
809 1339 75
1132 2210 27
2706 1515 44
4891 3871 45
2824 1878 28
4984 3436 75
2537 869 67
4177 1632 66
4064 755 6
3874 4541 17
2236 1703 8
2562 2835 19
1788 541 34
4984 1785 58
2428 961 36
2155 2298 72
3781 4835 41
348 364 74
465 4428 81
2170 4654 23
4987 1890 26
494 4453 13
4564 2593 7
150 2577 92
4607 1357 53
942 4865 3
713 3646 91
2705 3994 55
1330 811 36
2063 2982 90
985 4321 33
2962 1167 86
2774 2084 31
832 2234 9
4323 3193 18
128 487 83
3230 2552 30
3872 1609 76
3527 2940 88
314 3 22
403 2340 43
3735 1654 62
2872 780 46
955 1613 32
1615 936 77
3632 2416 64
1867 1999 16
2396 871 78
4623 750 18
2662 1064 73
3683 2820 65
377 2907 19
3239 2132 99
4536 3087 12
4420 4702 1
2496 4686 17
2412 1553 16
4879 301 88
3956 4925 90
2325 2587 55
697 2623 27
4113 3000 34
2831 2591 18
2330 2128 5
4793 1548 59
3193 396 98
4010 2808 51
1825 2688 53
1864 2996 30
2654 322 69
860 1019 92
1886 1485 45
2171 4316 36
4589 2998 16
1445 2792 16
4356 985 13
1953 4995 73
1103 3173 13
1907 37 10
3988 2691 32
3657 4903 3
2300 1789 88
3944 313 5
3180 4902 3
2247 2699 95
2863 3407 81
3875 360 28
4047 2816 1
3260 1075 39
1821 64 82
4352 73 86
4254 2373 27
642 2670 40
2698 2202 94
2752 4449 46
599 2312 53
4431 2539 66
3258 2939 82
259 1199 9
3649 3020 73
1082 3724 46
3419 2978 72
2546 4972 42
3337 4022 44
383 1775 93
1480 3726 58
4632 3157 97
4497 1415 36
3530 3026 87
3639 1675 59
163 4110 83
1761 2529 14
732 1427 38
3725 1117 13
2568 2852 40
2212 4332 66
4169 3964 23
3666 4814 38
2453 3344 65
2440 3335 92
1798 3499 54
1233 260 84
4998 992 63
3735 4717 80
2847 3637 32
86 849 16
1051 1371 81
1525 1389 95
2063 3842 91
1979 2634 27
4922 785 26
1976 2018 86
2911 3368 30
273 2103 99
105 1303 36
2788 2741 37
4804 3793 8
2136 1670 49
4282 3733 44
4772 2064 78
4950 3339 15
3627 315 85
1212 4578 53
2493 4851 57
3491 1308 12
4478 449 53
1315 1605 98
874 3741 69
1823 3023 54
2966 4147 19
3095 4098 58
4010 4077 25
4646 290 3
2299 4135 6
3407 2627 67
818 2105 16
970 4772 21
2620 647 14
4588 3822 89
1641 3140 36
2111 1235 86
920 1597 64
44 1244 6
98 4895 41
1356 3302 20
3922 4120 78
3289 1442 50
2909 4062 49
3974 2 71
3062 2996 63
2649 1459 99
1335 2380 48
450 3776 44
1207 227 39
1099 1583 41
3619 505 13
948 3794 56
3049 3055 70
2150 2029 25
3720 1443 73
4783 4092 32
3433 427 12
32 2229 41
2876 3436 68
1966 4536 51
3007 4507 8
871 1807 54
178 4856 9
4900 2006 90
4624 2079 33
3696 3214 77
4227 2999 57
3491 3031 86
2883 2259 75
1150 4226 11
2352 3585 70
411 4456 77
2264 987 85
3524 887 44
3165 511 75
4249 559 89
4425 1138 40
1381 981 23
567 3864 83
4541 14 61
4403 3718 98
124 4129 6
1300 1393 93
36 1269 80
779 4434 43
4953 3683 2
3693 3109 41
1784 4490 74
2907 1409 39
2641 2302 5
1601 3057 24
1850 3181 53
1555 833 99
2248 2222 68
179 3001 55
3622 4307 38
2623 4352 99
4115 1137 90
1589 396 51
2927 3037 6
1983 990 63
3406 2840 97
311 747 30
4961 4347 52
880 4527 6
1234 3149 65
1624 2124 69
122 2592 6
4463 4181 2
214 3460 91
4619 443 81
3433 202 73
429 1865 21
4611 1826 20
1014 4058 47
419 293 48
1835 3269 73
2604 3391 65
4509 4207 98
3163 4421 10
1205 392 53
238 177 7
2110 607 72
1082 1570 50
4402 2584 9
3600 4356 54
948 1191 75
1772 3795 66
3836 4657 73
1433 4172 46
3842 377 90
3046 615 68
3805 4078 27
1428 160 49
878 914 33
738 867 89
2243 1815 33
2017 3587 28
1534 3775 85
259 1560 9
4756 402 87
4646 4800 54
1065 4957 32
4443 1386 45
4391 3616 11
1923 4354 78
164 2949 45
4596 4966 84
4175 2852 59
3412 3111 19
1820 2868 73
1958 3866 26
2712 1283 83
3895 726 69
1591 1469 85
1554 4744 91
2383 4908 40
1380 856 58
3963 32 11
1674 3444 22
944 1616 42
617 3575 60
2794 2639 43
3576 2886 21
2097 830 90
4233 3736 87
2076 1119 47
1515 2499 4
3625 2815 88
2235 4489 84
308 1785 100
1250 2402 27
3761 1548 18
1204 1477 5
2076 4926 35
3066 4159 23
1504 1235 42
4850 4103 94
405 2728 61
992 1315 2
2727 1623 87
4727 4225 42
3005 2987 90
3923 4191 67
2727 2619 93
3713 2037 5
3435 3541 92
628 3392 47
1673 3797 27
533 1142 42
234 3869 66
1721 4948 43
1962 2954 30
103 1877 73
3370 956 93
2914 1021 30
1618 808 72
4262 1436 16
1008 3110 13
1835 3643 7
3976 230 77
4093 1951 77
3436 265 31
2117 368 60
4990 90 16
482 3005 37
4363 975 97
434 237 34
2601 1246 96
3566 4433 91
672 3409 21
3000 3855 24
277 3643 41
507 760 10
3967 750 52
4734 2584 57
1523 1948 85
4119 3734 22
4504 1336 20
2999 4902 53
1490 1926 15
1562 4927 70
4938 204 13
3578 711 73
3939 1030 76
4391 765 60
4199 3640 60
4983 2759 95
2357 2264 83
976 1615 37
381 4457 63
3195 2372 90
1216 2310 94
2880 2240 58
304 1180 88
3479 1923 5
591 1122 45
4650 1106 57
3796 4815 73
630 2143 40
2366 2524 98
2381 2071 70
970 3287 32
1116 1167 72
1973 2824 4
212 1303 27
4217 3246 50
3213 4249 8
1321 4397 23
1693 28 66
33 3746 43
4182 1127 14
703 3450 2
4534 4566 21
1957 1539 45
561 3103 1
1087 2320 99
2736 1886 48
3195 3207 46
2117 1253 26
4535 2638 24
4477 3172 4
2842 3875 6
3143 3409 72
2316 1718 63
4312 2279 66
3964 3367 39
1863 1103 25
4010 651 84
1907 2768 37
1184 3655 27
560 4484 99
1063 2327 74
1368 1822 35
2591 4138 54
1705 4803 33
2570 3767 52
2108 630 8
4884 993 59
868 4252 79
4456 1789 35
2035 2349 71
1433 4764 98
1059 2484 21
4093 1427 11
198 3132 14
3583 2054 34
334 515 16
4541 399 9
4399 2619 14
4730 3428 3
2364 463 4
834 1896 20
2984 4307 56
1956 3401 35
1418 4951 67
684 3534 73
3717 221 88
3732 1114 40
1093 1866 59
2706 1596 39
2460 3960 2
915 1146 51
486 482 10
3893 2438 11
3727 209 15
3045 893 1
4417 962 22
1305 4694 37
4944 2139 3
2554 1197 51
4945 3657 11
2798 924 9
3900 1410 44
4310 303 34
4472 382 43
4586 3427 36
4587 2845 50
1160 502 97
3848 1798 36
3402 704 34
4552 649 43
1014 4800 68
4975 3700 30
4418 3010 86
2651 2483 68
1094 2069 48
1781 3008 45
4783 521 47
2479 721 97
2314 476 53
4699 1380 55
742 2395 55
4061 3722 55
3790 3140 66
1527 2143 1
3295 4589 22
1194 2723 83
1938 2506 4
4536 4985 77
3932 2299 53
384 3351 34
3838 4093 81
3444 3154 3
399 3296 95
1716 4824 38
516 4471 28
2737 665 51
4319 2603 57
2774 2139 42
3303 2423 93
4307 2807 44
340 2998 89
1472 1442 43
4974 3193 40
4320 4909 16
4458 1777 87
4185 867 52
2987 186 55
2943 4313 46
4236 3968 69
4180 3275 28
2476 4968 78
1216 1440 73
1759 2767 66
1950 2087 28
3317 2897 5
2803 2082 72
2954 69 11
2060 4364 76
3305 4952 44
3325 485 71
1152 4313 39
3330 529 32
4654 2288 51
2819 590 38
3598 3907 36
1155 3062 70
3226 1016 92
3188 4428 8
3815 2733 61
3410 1058 98
1281 3563 11
471 3245 40
1102 2899 81
852 2070 71
4042 669 31
129 3176 93
3298 2754 62
4241 943 90
4549 1110 76
1161 4521 86
4610 2154 1
1020 3977 46
2959 1432 97
4891 3636 68
1062 4030 89
3844 4159 65
4688 3810 19
2901 4403 14
4191 304 77
918 1465 50
3703 2427 4
1404 3447 33
3701 2759 65
3898 2650 54
2517 64 84
3157 3908 96
1973 4949 6
3543 2850 9
2409 3393 14
2385 663 31
3234 4367 59
2589 2123 58
921 2176 17
2038 1074 68
1791 4943 84
1926 3100 45
1221 1425 94
678 4969 96
4539 2378 42
3704 4763 5
4334 2997 72
3744 1938 47
2954 2859 24
3570 1249 50
3189 4392 46
2873 1319 46
4169 3892 24
4062 4571 93
4509 462 71
3350 4166 86
2855 4852 35
3078 4949 73
1777 2903 84
2652 1473 34
4601 1015 26
2846 240 97
544 4409 42
4667 4823 13
111 684 75
2933 4035 93
518 3242 45
3804 1320 94
2676 3097 97
759 749 23
1444 1703 90
1522 901 82
2918 2797 91
4559 3816 66
2123 3927 50
149 1860 37
3693 3730 79
738 2534 100
4083 1562 49
3980 2322 51
3054 3766 6
3143 288 7
4824 4559 5
2266 470 73
883 3946 1
184 4095 13
3521 2789 44
99 4879 30
4350 3962 93
3051 4294 15
3853 2348 33
1358 1843 74
1116 3019 85
3672 1637 55
45 2520 1
345 4057 49
3857 2578 90
2452 4029 69
3582 4732 83
2626 2783 78
3992 1636 78
4124 4346 74
2249 462 45
4933 4135 83
4440 532 55
1540 877 12
440 1086 90
2129 4891 72
49 4825 4
3284 2451 87
4461 1443 75
690 1919 73
115 521 35
2560 454 22
1642 4894 54
4596 2787 83
2960 3227 22
2549 1709 13
2520 3110 38
2223 1394 41
1061 2207 84
2887 4250 55
4059 4365 76
2046 1925 83
519 3567 29
4525 4516 16
4407 2476 96
1728 1377 57
292 250 67
2329 2473 62
3169 4887 21
1804 4126 71
3711 3186 37
4786 1584 62
4020 2103 82
3149 1628 98
1416 2388 26
4263 468 3
3819 761 53
2838 4442 79
3251 3964 18
871 768 44
4094 4479 30
330 618 66
4843 990 22
4276 4139 2
3225 1908 90
4650 1171 11
3805 1343 72
3209 533 66
87 3784 30
4556 1007 51
1800 101 30
3581 1783 100
1947 1627 91
3768 903 82
3569 4129 90
2111 131 14
1121 3936 9
2244 2146 42
2809 3585 78
3691 3142 85
341 1294 39
2822 4875 22
922 3174 1
1364 3294 57
945 3216 38
3787 327 69
4152 2800 58
860 44 56
4453 4205 93
1830 4248 87
1566 4589 81
1404 2412 9
4378 4686 83
330 2402 30
2186 3347 46
875 3486 73
4696 2638 25
2453 4850 69
60 4303 26
2604 2485 75
3291 4052 16
1623 1808 28
4831 2538 66
2566 2869 68
4947 1407 68
4192 2283 54
116 1979 45
3840 784 95
3960 2196 51
3285 4800 36
3211 4443 40
2727 1067 1
1006 2250 91
324 1168 60
691 1115 20
2110 1659 3
664 1775 34
4560 615 18
1954 4575 66
1356 4213 18
1892 2424 62
4183 1503 81
3283 2510 83
1274 2834 52
3485 4877 19
2104 1988 79
4358 4004 54
3591 4916 22
4960 1870 97
3525 3227 62
3243 1471 87
3756 2006 42
336 1642 4
518 4268 38
3221 2753 68
2040 1210 8
3870 568 64
2475 512 80
1696 472 2
1845 350 81
2558 4945 52
4344 3701 59
338 389 53
3841 2259 21
1531 481 74
4098 3873 36
1357 4095 5
2620 1570 17
151 4619 41
4552 2816 91
3533 374 36
336 1071 89
4146 1409 78
4598 1602 38
4318 3133 71
3144 3583 96
3179 4940 43
135 3912 13
1251 4063 84
544 3616 52
3834 3501 27
3422 189 50
1710 4336 11
1740 286 13
4029 957 47
1799 4101 30
1146 3632 23
4588 3768 35
952 1371 99
3288 1915 67
3439 750 20
317 524 9
3266 2234 97
328 3974 36
2641 3003 93
3087 1154 94
3468 3652 26
3790 4592 46
4377 545 18
4027 3833 33
3645 3624 35
1764 3942 59
1424 3560 46
1773 3889 20
2408 1530 76
4000 969 82
1045 789 87
1722 4580 79
2520 309 76
3337 4336 61
1069 2981 86
2256 4745 80
2614 2521 40
1559 4294 29
831 3054 11
4458 3406 32
4239 803 22
377 2526 54
4756 1398 63
1031 4735 99
2492 2156 80
3929 4412 77
4308 2027 98
4599 4938 45
3780 769 99
4490 227 6
3874 819 9
2695 1196 87
3800 2304 85
3862 4688 72
4612 3532 29
3343 2461 41
1819 3121 20
4168 2720 59
2164 1500 28
1863 2343 8
1320 1217 79
1580 264 27
719 4064 32
1255 4278 72
1527 3890 4
3955 2233 65
2147 404 38
2367 924 58
2525 3089 59
4804 1304 54
3663 3976 71
3341 1908 87
568 2627 51
1451 3883 29
2022 410 71
2477 717 56
393 2864 12
1430 231 36
187 4108 77
1797 3913 33
750 2576 61
2272 2270 70
4058 4190 97
1260 1993 32
2740 4015 94
3110 1492 11
2065 1885 28
4128 4667 59
2116 4854 68
4544 3004 33
3277 106 9
3689 3731 31
4658 2789 21
4607 4050 14
4790 1790 81
384 1253 25
3046 4670 62
3573 3799 29
684 915 36
1903 459 40
2035 88 98
1095 130 29
2426 1140 19
4298 747 21
1812 1890 63
1044 3626 68
1769 1672 39
730 1598 90
711 3634 5
546 537 16
4737 3924 57
4034 19 87
2063 3797 27
4233 4448 27
1805 1260 17
1167 2304 43
3135 425 67
1125 1156 17
2914 1867 51
1970 3765 88
1485 3502 64
3793 2536 36
4879 951 85
3458 184 33
2784 1989 93
352 4509 50
1546 3996 75
764 121 83
1581 4387 2
1031 1357 67
2371 4194 21
2634 2988 10
621 2867 61
2406 2677 98
3638 461 39
1131 2165 100
3632 3711 96
206 4476 69
641 2409 56
2942 3440 13
361 2163 60
1281 1150 48
1090 1771 67
1851 4177 45
500 2816 58
1138 299 24
2638 3931 87
4485 489 63
2806 2482 24
4161 425 65
3226 786 80
1485 3419 30
4084 4510 2
4550 2713 79
2694 3213 47
4004 703 46
1127 4693 29
3313 531 71
1328 3337 53
1751 3850 30
1967 3428 68
4347 1265 88
4228 349 50
4529 4900 63
360 3946 28
358 2950 83
4304 429 29
4884 95 60
954 2775 97
859 878 99
1188 2846 28
3656 3545 93
895 4125 43
2644 3655 95
2106 367 93
2485 725 96
3567 1381 25
695 2618 72
4706 4924 47
2054 783 26
3253 3324 24
2880 3332 21
124 4227 46
2718 1871 53
212 329 72
4357 4166 50
1452 2733 31
328 4781 49
4300 4487 26
2398 1542 9
1375 4795 85
4550 4027 17
2622 503 96
4820 3222 19
2024 4786 48
4596 4143 14
4245 595 100
1627 2276 81
1628 2928 20
1553 326 62
3613 3054 9
3998 3956 88
2714 1579 92
3362 2751 14
880 4775 52
3728 4371 96
2093 4968 43
4544 1596 19
1776 4576 47
3496 1129 26
3109 4742 80
3870 3740 88
3657 2807 67
300 2521 18
165 3401 46
4817 3481 69
4964 575 38
706 1471 86
3725 3248 62
1023 3096 43
0 1205 85
679 1427 78
3019 85 37
585 1737 10
2255 1903 11
3700 3072 93
868 3036 20
4357 3742 91
4442 3819 91
455 1195 87
2597 1195 93
834 3227 20
4163 1246 57
1651 1831 47
1660 438 2
1422 4138 74
3314 1359 62
3485 716 56
128 159 76
18 1966 23
3005 916 18
3549 3102 45
520 2265 91
3929 268 75
4075 3280 13
2476 4702 4
301 4369 63
1162 2854 79
2117 2982 90
3244 3001 9
566 2358 25
436 907 27
2180 2779 44
1523 1708 64
2697 783 44
661 4611 98
2764 4912 67
2578 2426 22
3109 896 56
150 492 57
4158 2411 67
434 2847 26
4812 27 6
2807 2902 14
1070 599 50
3965 1261 13
1563 377 78
3529 2956 4
4702 2417 52
3858 2567 45
2366 1726 8
3233 2160 55
2710 3325 34
3615 1132 37
2581 3555 88
3682 2520 1
4394 435 79
1371 317 87
2127 19 4
130 229 71
3626 2596 49
4533 2181 62
3287 1243 87
4773 4859 71
4161 3792 26
4148 2474 47
1749 3220 34
1079 944 51
3365 3071 71
4420 3201 52
3042 1828 100
3391 2713 33
3604 2353 77
2142 2126 36
1812 1287 80
38 1787 54
2136 3536 26
4669 967 70
2520 4332 41
1742 104 95
1193 3147 75
945 2890 88
2877 2846 41
1053 4988 19
440 1800 58
3619 3190 46
624 326 34
850 1348 2
2019 3868 86
2612 1962 43
2758 4507 42
4732 452 84
771 3330 30
4164 4383 70
4682 1176 22
4192 4795 13
4137 1772 91
322 2622 39
1123 993 7
3961 3605 69
1903 1363 29
4344 2447 81
1027 4571 63
556 3735 99
1425 4769 75
1798 3961 70
4010 3098 94
2901 4773 16
3139 896 10
3598 4857 67
1018 3112 83
2946 2456 30
1679 4835 1
3741 391 88
1539 3168 58
513 4967 19
635 329 70
2528 4582 43
3396 2722 91
3905 2672 1
723 3690 13
3905 2989 22
887 4668 57
2439 3409 1
4079 4949 69
4136 462 88
4506 2449 70
2975 4978 52
2569 3374 26
4412 3631 98
1112 706 89
2276 964 30
897 3203 98
4354 642 7
4554 4721 8
4274 209 23
314 4716 72
1683 4043 2
3986 2965 28
4012 2377 11
1709 4841 18
4449 2117 82
178 3015 37
1927 2369 79
2086 3275 53
2193 3901 14
467 4215 30
1191 2250 26
1892 1237 43
3672 249 20
4082 3310 61
1551 2760 30
4984 4290 45
1620 1218 66
251 3304 93
3603 497 95
4868 2317 10
4498 3508 61
875 400 50
217 424 99
3288 4507 61
1200 2410 21
1229 2395 12
4274 4015 30
2391 618 34
3784 573 83
4078 442 100
4939 1292 8
3051 2167 61
2400 3736 85
3350 2024 44
2611 3224 55
983 4453 2
2294 79 69
