1000 5000
953 615 50
219 617 50
769 338 66
587 44 64
613 655 73
222 794 63
47 206 93
669 887 44
361 157 19
895 703 74
144 656 90
394 227 59
95 996 97
712 936 41
827 549 48
999 772 42
714 171 1
206 840 40
501 553 97
72 449 100
645 593 8
186 339 36
344 434 84
840 146 20
732 974 22
279 325 46
973 391 17
873 597 9
12 451 62
660 523 63
659 520 57
18 707 48
253 403 83
189 596 81
60 328 7
481 960 85
26 933 76
94 806 26
354 170 77
168 182 52
430 841 72
638 859 31
186 465 35
520 654 31
352 714 11
159 548 71
995 926 4
222 21 62
47 727 84
675 895 66
826 326 59
498 964 71
228 502 36
714 22 42
796 375 8
559 886 56
929 881 83
585 455 56
46 503 83
382 530 79
547 357 57
906 207 21
476 787 24
863 854 98
256 650 25
363 209 11
371 491 44
953 76 100
260 474 55
294 856 85
872 404 94
128 662 53
701 490 41
776 705 95
225 961 97
50 676 59
760 47 50
704 0 78
455 612 52
61 907 61
197 131 17
43 260 79
95 313 21
287 441 26
981 666 39
30 716 15
640 477 63
741 533 15
918 340 28
921 401 35
781 950 66
397 993 78
27 89 43
147 376 84
324 710 51
462 92 67
629 732 96
491 473 81
705 391 21
532 664 74
618 446 77
836 195 70
665 223 59
808 722 88
743 47 98
993 861 90
312 490 74
459 981 47
492 39 90
864 923 54
638 894 100
66 730 96
135 747 71
646 555 93
533 651 92
482 996 54
171 660 96
296 120 30
542 964 69
531 828 92
536 818 38
636 884 68
283 20 68
505 666 75
97 199 26
89 33 23
294 204 83
989 852 55
18 394 19
86 277 48
430 813 66
667 801 51
987 436 23
406 941 89
380 39 40
6 480 73
980 774 29
614 763 81
369 782 27
439 220 56
338 2 69
56 670 23
306 9 59
280 415 53
920 795 44
759 153 24
983 133 98
763 748 13
395 469 47
421 908 68
428 599 70
896 655 92
870 313 53
281 593 20
633 513 68
376 624 21
951 607 7
300 722 7
412 117 76
11 890 36
478 318 35
299 566 90
143 437 3
347 718 48
967 703 61
86 431 85
6 382 44
764 682 66
270 446 35
597 457 25
185 287 43
371 939 62
213 434 99
367 781 69
115 100 72
375 186 55
612 545 37
807 309 71
373 932 69
407 881 79
684 418 66
926 790 57
87 3 91
37 722 25
57 837 25
780 565 64
934 529 9
822 336 70
392 61 54
113 469 36
291 505 54
108 431 96
865 871 51
407 260 74
731 318 11
508 98 28
471 33 57
331 855 46
852 600 7
306 65 76
993 356 33
98 464 65
346 329 88
596 89 100
569 820 18
732 680 69
811 503 54
68 186 61
365 39 61
371 697 26
199 690 34
531 140 99
647 486 80
986 435 69
586 4 42
855 88 22
223 900 26
976 320 12
937 685 3
849 56 100
827 607 42
160 139 83
310 786 21
790 773 56
710 711 13
451 566 1
225 790 53
150 118 73
613 407 10
116 609 19
667 436 26
909 948 65
643 611 4
215 753 77
871 463 88
235 267 6
335 492 48
40 994 67
64 607 26
774 75 35
892 95 23
617 356 24
834 999 35
837 566 40
965 437 3
804 24 70
209 360 14
757 752 8
775 816 68
200 590 95
587 834 90
761 804 46
884 638 97
970 827 64
809 792 53
464 596 78
385 805 90
799 914 42
206 689 58
573 890 1
368 829 35
257 590 39
855 827 29
451 797 56
966 959 100
919 775 48
896 160 6
937 959 20
378 166 10
987 739 52
187 459 81
222 69 71
412 924 98
241 727 48
248 694 59
400 965 34
147 213 94
52 150 54
224 880 20
85 867 11
836 407 23
416 629 92
938 393 68
288 986 95
435 235 41
893 635 6
478 134 71
871 539 21
576 763 53
447 848 21
410 36 28
832 452 9
323 742 2
442 30 41
288 465 76
829 710 63
686 188 97
757 412 88
329 988 51
782 788 51
454 198 87
533 30 91
241 705 34
694 147 64
134 435 82
161 616 44
823 303 33
972 412 97
659 93 37
462 875 25
464 329 23
151 862 5
993 455 10
226 502 9
842 988 97
923 150 13
66 325 68
750 649 80
198 661 26
635 123 1
211 939 83
986 442 97
790 436 5
652 14 7
12 856 95
808 779 97
221 198 23
288 948 72
120 499 33
45 134 8
197 345 100
31 683 42
728 474 78
232 478 93
590 490 1
584 299 33
81 872 31
255 512 31
78 984 30
563 381 16
522 579 14
421 610 97
763 690 23
892 274 1
36 864 44
37 801 43
521 882 67
851 489 79
833 567 16
315 130 97
930 653 76
595 426 39
592 189 81
766 434 56
419 470 20
562 859 21
356 380 55
22 583 96
552 417 64
67 84 46
964 366 51
791 962 78
581 906 19
62 672 53
169 91 76
140 653 35
913 361 68
919 383 51
415 288 20
830 355 4
727 671 71
278 463 85
607 396 91
125 810 63
78 979 55
853 120 60
839 385 22
206 304 57
509 719 45
228 901 1
384 629 72
906 259 87
390 866 84
780 991 46
194 421 26
348 274 98
860 466 83
381 672 87
637 181 59
182 762 12
434 498 41
357 404 100
744 146 18
879 278 10
824 472 31
101 173 58
498 33 24
632 766 48
71 403 82
581 937 44
992 371 94
385 729 50
684 825 96
202 704 26
63 880 50
345 982 23
902 832 8
277 465 74
325 536 78
906 469 15
601 461 39
794 846 68
743 883 93
190 437 49
267 500 29
816 845 63
539 100 96
998 377 13
872 702 1
501 960 70
67 561 31
5 707 30
24 802 13
868 344 50
416 611 2
197 428 47
311 319 47
906 669 77
318 541 79
618 42 92
739 462 5
970 467 13
751 844 15
63 712 12
164 481 23
765 30 3
563 341 74
462 600 44
738 918 85
68 889 80
359 980 42
564 302 61
828 53 57
894 116 70
305 632 3
680 749 33
834 313 26
308 127 26
451 217 97
487 285 38
918 997 18
811 913 21
524 93 74
80 987 43
349 645 75
803 677 77
287 511 90
113 819 69
538 622 86
586 462 23
523 380 72
793 544 37
13 68 30
638 148 70
732 850 67
459 5 44
935 293 55
724 406 27
992 296 49
829 883 11
951 758 44
423 551 40
159 916 60
341 555 8
862 287 10
28 98 16
871 33 9
225 109 67
103 453 15
252 282 98
214 586 9
909 9 60
500 520 29
159 213 36
319 75 75
328 103 74
695 326 7
355 904 17
773 7 70
488 259 5
437 826 91
145 735 52
757 236 24
285 747 38
720 66 13
794 395 69
967 442 95
526 150 99
194 923 7
315 411 18
719 849 44
61 994 32
412 103 20
636 388 67
425 460 86
937 607 33
257 574 75
552 452 25
102 646 49
660 962 60
830 33 61
473 95 56
556 507 59
227 495 100
646 920 60
131 210 67
363 467 94
389 371 98
566 826 45
314 486 59
825 316 92
186 142 87
893 50 95
703 630 90
254 628 63
914 111 73
532 474 40
77 215 64
427 781 90
71 447 28
29 273 97
372 811 91
459 56 41
405 759 23
846 14 51
208 280 62
780 164 88
172 594 4
287 21 37
228 444 85
655 473 10
751 197 21
341 656 77
334 61 88
956 908 2
559 468 34
920 249 99
108 773 45
863 412 66
399 640 10
383 295 35
992 399 32
764 92 89
592 778 2
180 735 10
133 294 31
367 566 80
117 674 5
461 889 17
178 289 57
987 24 4
621 369 55
804 485 48
292 78 78
546 610 65
707 743 11
337 462 78
568 931 4
572 744 94
340 922 35
748 909 11
804 882 32
258 687 18
157 331 48
835 877 58
599 585 53
362 922 68
339 491 99
694 415 44
587 108 66
473 856 28
736 660 62
719 271 1
836 428 85
735 615 14
244 567 51
849 929 74
916 620 17
914 314 84
9 254 92
675 79 1
954 815 13
467 535 84
668 723 65
904 811 32
17 55 99
68 904 80
393 820 100
561 87 67
496 96 21
188 123 100
440 429 68
352 897 3
888 917 78
204 821 89
135 190 97
986 258 53
117 651 26
517 564 13
935 61 61
255 601 85
6 393 14
573 745 63
675 985 80
205 541 53
193 677 44
941 15 54
594 132 58
419 1 22
683 936 83
43 543 36
879 550 29
145 123 27
307 151 64
739 708 6
991 253 35
786 195 50
840 789 34
897 560 88
870 595 76
553 638 20
540 870 22
569 15 45
695 322 48
158 413 56
515 405 10
549 543 57
950 383 98
484 632 58
371 503 5
898 408 43
617 948 65
590 517 80
687 564 55
934 75 68
242 590 25
803 140 69
559 90 52
456 926 37
265 649 40
669 548 48
63 517 96
328 108 66
959 795 82
913 81 57
281 675 100
405 478 92
425 37 82
829 845 61
865 110 10
404 131 10
351 195 28
598 875 88
715 834 35
749 100 16
857 733 92
556 490 22
747 916 12
381 745 57
941 610 20
502 14 3
612 717 50
591 667 25
678 735 12
912 484 64
579 341 97
570 250 87
744 349 3
955 82 100
363 375 10
234 878 76
237 842 45
138 433 65
563 111 100
526 375 36
589 954 29
737 877 31
23 621 81
578 928 63
229 643 39
139 878 69
766 467 11
463 605 44
827 520 7
278 46 34
565 987 88
193 76 17
424 452 90
356 382 18
370 611 62
408 102 40
28 869 59
138 332 64
33 511 85
39 789 83
772 354 23
812 899 99
728 675 51
618 31 33
787 402 97
248 162 99
939 191 20
97 681 52
213 715 63
497 106 4
179 231 58
553 43 10
652 123 85
554 741 69
839 881 23
735 481 85
733 421 28
953 870 62
856 435 77
271 932 35
826 464 66
736 369 9
545 21 85
29 928 26
897 767 59
519 502 41
656 587 14
335 892 84
696 101 72
124 372 4
659 198 20
776 934 90
585 831 63
869 861 91
246 110 10
505 982 12
597 990 52
110 325 96
845 374 97
16 850 21
472 861 72
391 638 58
32 575 90
47 796 3
637 42 13
347 899 47
910 848 37
413 958 15
809 804 41
657 820 91
878 292 5
649 36 43
706 68 18
947 115 14
49 105 8
262 804 60
160 714 8
697 480 67
263 289 71
203 946 43
345 176 36
349 177 72
991 236 92
208 183 60
573 233 17
981 847 21
640 7 87
499 56 67
965 319 8
587 874 7
30 220 83
117 921 61
240 265 97
431 825 80
442 399 65
558 380 12
478 372 72
465 871 28
283 189 100
391 128 74
797 158 46
379 275 68
491 515 33
487 299 58
19 741 9
135 652 41
747 482 65
70 947 89
449 583 78
148 974 6
74 123 17
571 854 92
990 346 60
674 185 11
184 556 52
92 692 56
733 791 39
97 861 38
685 310 21
814 811 47
72 885 70
488 808 25
531 799 71
442 473 8
652 657 65
956 750 57
911 835 48
349 284 61
439 970 71
759 136 34
406 560 71
527 48 80
151 932 79
473 374 52
981 379 10
45 335 12
153 598 47
52 300 31
812 739 53
882 498 42
468 256 2
938 784 3
217 287 35
647 113 61
199 94 40
760 491 27
423 996 78
569 48 78
351 860 17
456 94 67
697 562 76
850 501 12
52 70 99
186 718 12
399 269 58
990 381 1
917 804 97
146 725 45
323 76 5
591 884 52
709 581 14
84 784 67
595 836 90
746 375 8
9 774 29
719 764 10
919 33 14
468 179 39
712 854 67
169 445 52
720 155 85
833 591 69
152 539 6
541 285 81
0 646 7
728 365 71
837 637 57
750 105 36
740 169 91
806 338 88
757 410 95
642 244 87
662 748 78
167 289 15
399 289 61
405 17 79
528 206 16
684 956 73
371 48 42
913 854 33
901 964 43
747 958 39
185 620 87
162 140 28
776 539 17
389 297 86
367 825 92
334 509 100
406 880 100
999 794 55
931 47 19
274 794 77
212 980 97
899 494 89
226 623 29
195 12 26
532 379 51
76 65 12
927 823 44
827 822 38
581 754 37
651 380 32
679 592 64
975 843 10
116 422 33
444 617 45
421 501 76
223 577 93
534 857 16
77 684 39
767 617 45
503 268 25
386 947 17
601 274 13
311 390 35
643 186 4
340 959 5
767 182 35
260 716 92
575 146 28
65 913 45
309 768 65
933 155 64
502 756 90
914 419 33
100 415 71
903 755 31
559 874 13
793 134 82
236 62 28
363 127 93
459 437 13
823 722 68
838 576 77
128 842 48
512 942 63
82 845 70
612 405 45
325 550 79
106 787 41
385 150 21
929 962 58
241 137 32
61 976 61
989 456 3
336 968 46
451 402 91
320 15 48
64 692 99
295 798 86
235 535 88
655 464 50
864 57 40
148 118 16
8 459 24
710 796 44
355 247 46
198 567 13
445 984 5
243 279 55
180 866 90
268 874 6
669 90 64
208 238 34
75 598 94
398 309 90
393 16 89
439 566 8
203 12 92
308 607 23
562 788 90
704 408 64
309 77 54
324 638 45
458 713 43
51 464 4
792 209 73
132 0 39
39 204 3
283 512 11
805 426 51
546 130 59
809 792 88
515 116 78
459 926 44
353 329 60
909 473 69
481 957 70
619 349 74
122 632 38
584 789 16
834 336 99
844 497 91
283 364 59
361 175 38
504 529 67
463 438 93
983 919 50
152 890 99
877 364 83
466 948 73
482 782 61
980 978 10
622 262 75
732 623 50
769 479 31
488 942 69
32 277 40
181 430 83
680 659 47
514 126 96
138 960 30
98 292 9
908 266 71
434 998 46
783 120 25
14 608 19
34 640 96
326 173 78
508 205 90
54 720 16
901 858 28
531 309 20
491 569 86
713 3 36
558 138 56
234 504 16
204 891 8
451 217 82
129 725 39
818 131 59
985 33 70
464 916 79
883 407 100
920 472 55
955 382 93
463 616 50
578 172 41
38 623 58
319 104 35
157 922 66
68 259 51
189 723 67
267 958 74
618 878 98
972 186 80
464 1 48
165 579 20
405 969 44
862 288 48
748 798 23
414 218 34
464 407 58
783 26 68
508 644 99
706 616 85
285 432 86
833 598 17
904 355 87
599 570 27
47 318 77
121 84 95
806 901 54
215 684 80
583 192 24
181 898 92
317 536 77
454 721 27
522 625 82
208 225 52
887 624 23
363 745 7
410 903 8
863 119 92
695 702 85
170 235 35
262 552 71
490 6 92
316 528 70
497 89 95
601 328 19
23 691 16
529 453 19
289 669 38
380 364 92
16 534 27
903 796 79
973 638 37
117 954 18
886 804 59
880 405 87
850 780 78
565 309 84
535 950 53
625 331 17
416 699 51
443 602 100
373 928 38
662 397 93
831 283 49
89 515 6
675 717 86
304 634 47
387 169 98
139 794 81
607 563 80
258 358 35
57 731 63
846 745 60
590 576 95
138 665 62
443 340 79
528 997 13
627 384 34
324 876 81
704 483 44
783 741 2
817 150 85
131 349 31
842 939 59
836 430 77
49 873 69
627 754 66
191 381 51
277 705 79
157 761 62
952 896 56
753 66 58
989 197 7
971 392 47
882 228 29
458 278 2
726 257 8
992 801 41
994 430 98
872 587 59
585 891 56
40 996 74
998 985 23
304 309 15
902 191 96
930 649 26
184 727 83
543 719 36
284 65 66
81 289 5
640 875 48
447 915 44
320 913 82
742 570 91
909 824 34
304 107 83
329 291 10
963 834 82
751 118 47
616 552 89
773 192 64
172 991 31
216 311 45
949 405 67
639 314 43
872 970 50
106 299 93
67 263 28
748 366 98
847 334 2
235 107 94
850 632 85
380 848 48
176 797 6
542 788 72
85 12 43
86 118 94
379 185 9
858 286 75
807 133 10
309 720 69
2 570 1
39 950 49
738 127 98
843 21 38
967 458 50
709 545 20
102 924 6
111 782 44
485 589 29
546 898 49
715 253 71
515 292 73
516 382 52
313 578 74
251 545 84
552 254 29
972 708 5
929 171 87
172 9 29
252 555 79
52 270 32
422 786 76
446 654 59
598 319 37
123 570 34
458 475 88
987 447 48
143 728 20
82 252 29
610 504 84
740 556 7
772 330 93
799 776 99
209 726 18
197 201 41
730 660 16
869 999 15
717 142 43
88 224 95
116 186 51
51 927 7
257 51 37
601 850 65
599 60 44
917 609 45
157 340 5
224 209 4
738 278 99
980 366 75
826 834 14
176 886 41
434 143 44
22 97 46
386 696 58
181 965 68
826 122 8
482 346 69
138 436 100
936 768 66
662 594 1
575 122 87
767 556 82
10 578 79
456 317 28
665 498 93
132 676 68
291 159 66
12 297 3
11 585 71
376 247 18
928 175 40
366 942 97
948 305 27
978 113 44
57 778 95
750 911 71
269 554 30
134 566 79
788 577 16
859 306 16
876 234 91
367 601 33
63 901 38
42 231 51
985 289 30
131 391 93
602 660 47
583 146 66
214 935 43
429 794 49
244 22 36
234 389 37
519 805 90
756 847 21
459 184 10
940 316 53
684 270 13
982 853 60
847 419 47
290 849 93
390 445 15
725 680 56
13 551 13
202 659 12
623 118 97
684 410 65
137 94 35
601 77 40
212 924 60
110 566 61
802 309 6
868 386 38
324 400 89
288 954 49
100 929 19
448 966 30
112 455 76
398 408 5
537 973 82
448 83 100
208 886 9
766 754 48
3 430 100
792 719 54
592 819 36
862 267 2
191 731 9
319 129 17
523 18 90
356 467 74
756 27 60
464 793 66
263 797 97
462 941 16
616 533 35
403 395 54
156 939 85
364 610 66
980 485 84
922 842 51
947 598 31
506 414 24
523 678 21
619 140 14
434 108 99
420 863 47
673 19 86
9 383 48
474 716 33
310 990 27
260 937 25
942 795 92
66 318 22
338 938 14
552 724 23
650 145 86
496 170 58
633 532 93
732 6 9
965 668 51
743 929 88
768 223 35
911 289 54
732 628 44
45 532 68
819 182 65
457 31 36
114 16 68
506 749 26
967 66 95
769 161 76
509 281 99
43 192 41
248 276 69
391 322 53
611 493 87
975 950 18
862 416 87
929 275 88
707 242 6
153 363 67
880 872 49
478 916 93
70 164 70
938 908 92
42 519 85
329 846 88
998 709 4
684 990 79
823 697 73
28 202 37
747 82 9
395 913 77
939 983 94
408 274 2
551 316 73
188 645 19
775 644 28
778 680 71
409 504 68
281 884 23
869 631 5
330 378 18
706 318 2
599 726 76
752 630 44
424 818 90
295 593 34
522 723 66
92 132 70
712 766 55
886 635 38
790 317 17
960 24 87
113 975 65
540 728 95
283 504 13
672 799 58
57 674 34
123 766 66
44 830 84
850 716 72
288 859 89
456 819 13
294 932 41
858 472 69
405 755 25
769 780 25
79 189 99
112 312 17
629 709 48
913 559 16
184 199 27
772 7 46
737 301 30
677 512 2
697 269 10
221 38 90
545 469 79
895 581 44
12 211 5
311 124 16
678 660 68
905 784 75
950 521 29
280 550 41
433 599 62
694 173 52
383 70 22
614 966 3
509 978 66
465 641 42
980 319 2
47 224 87
474 527 60
202 159 63
794 592 14
655 287 87
906 22 58
627 988 76
282 849 54
147 314 47
489 295 66
842 694 43
980 168 70
640 370 29
554 516 73
67 171 12
106 430 35
863 409 75
938 691 25
343 191 39
389 32 86
106 874 33
48 855 53
869 847 24
497 401 92
422 820 64
633 926 46
867 789 55
794 79 99
218 422 90
308 163 22
46 270 96
830 670 51
782 540 98
457 389 51
649 811 72
364 445 98
509 664 40
63 458 19
661 28 94
802 337 9
623 735 31
671 565 2
573 347 94
323 805 83
473 806 95
796 170 92
46 679 56
85 94 15
555 108 95
800 262 32
209 886 19
591 909 84
292 482 84
237 157 89
220 983 47
366 779 17
957 825 48
564 262 94
630 170 2
725 970 65
508 531 3
27 475 12
110 119 46
893 357 4
833 929 39
579 295 18
495 604 96
794 168 58
188 151 80
689 876 3
805 384 86
807 411 61
70 874 81
168 767 38
423 601 67
661 532 14
30 380 18
225 174 38
35 362 89
14 404 65
316 209 2
502 369 13
514 791 39
294 311 7
431 734 60
849 747 92
562 778 24
879 3 99
717 38 61
57 405 65
274 73 27
875 927 48
239 442 39
478 736 51
836 520 37
795 369 85
638 932 63
862 163 18
612 232 9
372 290 66
889 916 39
967 791 19
414 382 61
652 860 49
554 48 21
543 843 43
927 834 27
441 48 90
958 660 75
218 384 17
883 273 33
974 592 24
992 6 58
804 11 19
352 565 67
125 108 63
267 387 49
693 828 49
634 139 9
808 709 45
624 593 71
356 567 63
231 911 70
489 715 81
959 419 98
477 544 59
191 163 46
739 856 27
39 491 18
647 299 27
344 276 72
314 984 91
876 216 2
445 57 69
377 368 89
875 845 85
833 389 49
178 480 57
56 520 48
73 519 100
152 863 76
823 177 12
414 54 28
267 851 37
836 229 5
176 104 3
60 937 92
460 467 24
717 524 44
816 949 64
215 101 27
242 277 5
254 43 11
833 310 62
822 498 91
178 26 95
380 87 84
323 899 52
747 616 28
42 433 77
505 0 31
184 595 8
40 849 51
950 34 13
63 856 12
54 35 38
500 767 77
884 443 77
87 542 45
166 584 30
194 442 31
324 626 78
731 666 79
533 968 13
646 31 22
257 437 9
246 938 28
675 174 71
3 613 65
947 779 50
29 973 92
111 650 70
788 733 36
666 267 56
930 913 87
51 522 77
911 120 15
539 795 41
609 798 54
574 98 85
475 127 10
818 238 12
787 26 46
774 692 13
729 622 78
67 26 100
843 937 20
909 476 68
149 438 66
354 364 16
690 191 43
352 9 81
663 148 7
708 922 51
372 3 26
949 70 4
48 266 41
620 527 70
339 29 60
856 383 76
472 426 67
214 130 28
547 793 76
553 854 98
956 226 53
333 176 75
736 576 41
76 548 69
597 887 98
556 96 33
583 568 11
449 134 41
28 681 87
403 587 41
52 543 19
704 876 95
779 612 24
471 40 72
339 638 12
588 546 8
573 482 76
983 931 10
876 312 44
562 715 31
454 120 74
572 824 2
219 955 66
442 427 6
565 118 96
576 59 95
683 632 77
710 967 60
872 195 72
715 757 40
497 563 60
470 136 84
23 355 40
188 149 19
393 714 37
941 291 96
35 326 80
963 389 100
822 261 95
994 328 5
233 825 68
944 647 56
127 670 63
618 210 12
888 955 27
925 896 70
372 283 96
804 246 85
203 69 98
797 415 78
501 0 55
121 944 2
876 71 24
339 42 34
302 930 90
628 207 38
597 932 22
245 736 68
281 291 37
931 440 4
908 294 4
63 415 48
216 643 72
40 334 14
425 637 96
766 617 56
4 567 88
525 812 76
644 445 19
833 376 59
436 637 53
40 700 20
587 268 64
558 660 98
923 86 87
571 204 5
426 208 72
565 85 36
792 730 81
310 563 10
268 999 47
521 39 99
892 979 19
555 889 80
905 165 18
891 736 22
847 514 31
370 431 16
705 223 98
838 533 61
699 801 61
845 674 52
395 919 31
213 826 73
44 731 38
961 975 26
83 174 40
765 545 71
180 250 46
678 440 79
90 139 32
150 336 59
954 731 78
736 297 4
408 341 88
245 303 15
170 738 89
961 503 34
183 35 37
628 713 77
958 156 69
442 306 5
952 612 89
381 349 38
636 757 31
623 3 34
937 525 24
778 839 27
811 22 63
799 3 28
228 961 84
796 755 43
52 707 55
392 88 4
381 725 62
712 700 17
697 990 94
421 768 33
647 931 8
909 731 11
589 311 24
72 459 32
214 863 39
969 256 28
72 989 5
285 701 5
853 399 95
947 172 63
231 819 95
538 81 78
200 670 89
176 742 100
907 309 63
345 278 71
224 702 61
828 340 62
485 193 13
779 140 85
842 724 5
188 262 38
617 815 8
357 991 2
556 250 63
618 947 41
289 172 96
301 352 36
662 837 81
127 969 22
411 163 98
867 703 60
756 320 27
315 29 70
617 585 20
579 555 68
172 196 92
819 497 96
806 512 34
986 639 55
659 402 18
56 622 21
68 378 41
894 694 22
64 663 59
835 594 14
202 118 63
445 937 12
41 743 76
826 730 67
580 741 70
497 798 44
117 866 22
409 760 68
730 176 83
988 12 78
153 566 48
867 12 86
79 53 81
154 879 63
221 459 5
42 308 3
485 425 21
658 186 33
878 268 10
760 256 74
589 761 40
537 629 52
774 60 57
754 214 88
169 787 47
973 181 7
927 18 84
747 677 70
31 907 38
140 19 46
965 609 8
5 498 89
408 272 49
865 378 15
552 547 55
51 872 36
857 151 55
441 250 84
562 282 43
600 422 62
597 388 71
356 745 69
744 153 93
544 370 72
559 275 19
65 326 92
400 535 95
106 328 46
841 891 28
483 843 2
145 440 42
767 797 87
536 893 93
928 438 63
51 349 90
370 414 16
913 166 4
607 625 32
552 466 23
131 950 18
133 447 59
874 214 8
713 102 1
705 383 39
419 434 40
409 156 6
76 421 73
279 29 50
811 933 16
585 417 18
203 550 17
261 424 32
468 137 86
920 194 69
811 614 4
50 23 12
56 99 34
580 379 15
729 542 48
696 127 65
614 330 67
682 943 92
613 763 81
999 684 76
119 495 42
674 897 65
386 953 16
519 533 47
33 614 89
832 311 69
49 277 51
815 959 95
358 925 10
39 276 94
266 395 41
107 70 39
323 456 92
990 327 78
389 360 92
329 192 55
397 241 32
148 409 44
194 767 69
3 158 45
849 776 92
189 883 14
779 558 22
971 901 49
400 290 9
443 619 54
150 369 95
781 517 4
724 63 24
944 66 82
440 267 59
332 457 94
645 236 5
119 559 6
567 311 48
376 107 19
81 257 88
675 390 57
31 467 20
506 411 39
787 852 6
197 536 15
843 533 4
47 652 15
504 220 79
603 948 86
321 29 43
409 56 85
365 439 52
737 945 64
175 85 68
232 634 4
747 477 37
202 524 42
216 380 62
246 983 62
31 657 91
425 418 47
210 135 39
461 872 84
476 399 21
343 632 56
98 731 33
35 933 10
328 501 90
489 748 26
950 131 35
792 557 53
338 119 88
676 932 61
312 761 60
32 104 44
387 203 75
572 590 60
281 918 62
722 759 62
499 61 93
933 853 2
137 543 73
125 572 58
337 884 19
948 268 23
544 8 78
518 580 20
778 861 38
891 935 49
752 435 10
96 720 63
350 210 7
722 687 79
379 24 15
797 324 83
672 868 91
749 739 23
769 869 84
58 760 72
107 864 59
216 312 79
531 662 41
37 385 28
467 116 52
781 266 29
715 938 49
658 39 40
180 160 9
916 219 21
587 678 37
45 246 50
575 777 64
316 166 49
743 985 18
547 766 84
27 834 74
727 492 13
167 672 26
475 940 45
248 527 75
884 924 21
185 852 99
149 168 17
849 263 3
666 162 21
101 541 55
826 269 99
239 436 24
164 263 64
660 511 44
834 748 68
606 285 20
804 434 40
521 284 56
575 302 18
395 756 60
402 582 81
900 173 17
423 689 32
239 701 44
582 887 44
849 494 29
321 650 16
960 523 52
215 98 6
985 494 62
296 896 97
876 148 22
244 924 64
875 163 65
18 97 5
613 298 99
494 619 49
809 932 73
760 499 23
365 836 69
79 132 17
727 8 66
548 252 90
411 128 5
328 498 2
132 464 100
782 958 72
82 767 4
906 879 55
829 596 92
597 675 24
966 402 85
131 303 89
572 66 69
528 746 20
581 230 84
932 12 94
903 95 13
158 353 92
913 182 88
504 132 16
579 450 70
15 581 73
704 505 40
224 385 86
243 966 17
78 898 81
871 154 28
135 312 82
926 225 16
666 81 100
433 13 50
602 28 83
75 732 40
966 309 25
603 552 91
119 983 42
352 854 96
679 342 8
360 620 86
928 286 19
627 71 32
129 674 61
563 101 45
503 67 54
827 670 7
470 142 42
363 494 48
58 525 90
417 238 11
354 166 97
373 145 21
404 626 95
464 190 96
961 693 15
414 872 37
772 694 31
113 409 77
661 467 3
550 237 41
60 591 59
209 964 56
429 721 83
675 537 25
22 498 70
788 265 94
224 37 89
507 151 98
283 164 18
585 714 7
477 127 98
887 336 15
795 117 88
329 144 25
53 166 76
822 954 41
815 530 78
855 37 81
305 321 45
222 258 12
80 88 39
177 975 27
943 770 96
430 99 40
807 504 6
682 678 12
174 494 42
351 701 80
384 6 1
228 580 59
491 660 99
529 190 75
607 133 97
802 916 49
141 75 53
998 757 84
809 283 78
151 986 31
530 370 38
582 951 70
892 442 83
291 324 73
17 931 58
513 86 26
